Number of Records,Returned,Order ID,Updated Order Returns
1,Yes,CA-2013-145261,CA-2013-145261 Product Arrived After Promised Delivery Date
1,Yes,CA-2013-145492,CA-2013-145492 Incorrect Products Delivered
1,Yes,CA-2013-145583,CA-2013-145583 Customer Dissatified With Product
1,Yes,CA-2013-145919,CA-2013-145919 Product Arrived After Promised Delivery Date
1,Yes,CA-2013-145982,CA-2013-145982 Customer Dissatified With Product
1,Yes,CA-2013-147375,CA-2013-147375 Customer Dissatified With Product
1,Yes,CA-2013-148796,CA-2013-148796 Incorrect Products Delivered
1,Yes,CA-2013-150077,CA-2013-150077 Procut Description Inaccurate
1,Yes,CA-2013-151323,CA-2013-151323 Procut Description Inaccurate
1,Yes,CA-2013-151372,CA-2013-151372 Procut Description Inaccurate
1,Yes,CA-2013-152814,CA-2013-152814 Product Ordered Accidently
1,Yes,CA-2013-157280,CA-2013-157280 Product Ordered Accidently
1,Yes,CA-2013-159023,CA-2013-159023 Incorrect Products Delivered
1,Yes,CA-2013-159212,CA-2013-159212 Procut Description Inaccurate
1,Yes,CA-2013-159345,CA-2013-159345 Procut Description Inaccurate
1,Yes,CA-2013-161746,CA-2013-161746 Procut Description Inaccurate
1,Yes,CA-2013-162138,CA-2013-162138 Product Ordered Accidently
1,Yes,CA-2013-162159,CA-2013-162159 Procut Description Inaccurate
1,Yes,CA-2013-165330,CA-2013-165330 Customer Dissatified With Product
1,Yes,CA-2013-166275,CA-2013-166275 Incorrect Products Delivered
1,Yes,CA-2013-167759,CA-2013-167759 Customer Dissatified With Product
1,Yes,CA-2013-168921,CA-2013-168921 Customer Dissatified With Product
1,Yes,CA-2014-100111,CA-2014-100111 Product Damaged
1,Yes,CA-2014-101273,CA-2014-101273 Procut Description Inaccurate
1,Yes,CA-2014-101574,CA-2014-101574 Procut Description Inaccurate
1,Yes,CA-2014-101700,CA-2014-101700 Product Arrived After Promised Delivery Date
1,Yes,CA-2014-101805,CA-2014-101805 Product Damaged
1,Yes,CA-2014-102519,CA-2014-102519 Procut Description Inaccurate
1,Yes,CA-2014-103380,CA-2014-103380 Procut Description Inaccurate
1,Yes,CA-2014-107825,CA-2014-107825 Procut Description Inaccurate
1,Yes,CA-2014-108294,CA-2014-108294 Product Damaged
1,Yes,CA-2014-108931,CA-2014-108931 Procut Description Inaccurate
1,Yes,CA-2014-109085,CA-2014-109085 Customer Dissatified With Product
1,Yes,CA-2014-111556,CA-2014-111556 Incorrect Products Delivered
1,Yes,CA-2014-112725,CA-2014-112725 Product Arrived After Promised Delivery Date
1,Yes,CA-2014-112753,CA-2014-112753 Procut Description Inaccurate
1,Yes,CA-2014-112865,CA-2014-112865 Procut Description Inaccurate
1,Yes,CA-2014-113670,CA-2014-113670 Procut Description Inaccurate
1,Yes,CA-2014-115427,CA-2014-115427 Procut Description Inaccurate
1,Yes,CA-2014-115994,CA-2014-115994 Customer Dissatified With Product
1,Yes,CA-2014-117212,CA-2014-117212 Procut Description Inaccurate
1,Yes,CA-2014-117513,CA-2014-117513 Customer Dissatified With Product
1,Yes,CA-2014-117926,CA-2014-117926 Product Damaged
1,Yes,CA-2014-118122,CA-2014-118122 Incorrect Products Delivered
1,Yes,CA-2014-118542,CA-2014-118542 Product Ordered Accidently
1,Yes,CA-2014-119284,CA-2014-119284 Product Ordered Accidently
1,Yes,CA-2014-121258,CA-2014-121258 Product Arrived After Promised Delivery Date
1,Yes,CA-2014-121853,CA-2014-121853 Procut Description Inaccurate
1,Yes,CA-2014-122007,CA-2014-122007 Product Damaged
1,Yes,CA-2014-122504,CA-2014-122504 Incorrect Products Delivered
1,Yes,CA-2014-123085,CA-2014-123085 Procut Description Inaccurate
1,Yes,CA-2014-123491,CA-2014-123491 Product Arrived After Promised Delivery Date
1,Yes,CA-2014-124401,CA-2014-124401 Procut Description Inaccurate
1,Yes,CA-2014-127306,CA-2014-127306 Product Ordered Accidently
1,Yes,CA-2014-128965,CA-2014-128965 Product Damaged
1,Yes,CA-2014-129707,CA-2014-129707 Product Damaged
1,Yes,CA-2014-130631,CA-2014-130631 Customer Dissatified With Product
1,Yes,CA-2014-131492,CA-2014-131492 Product Damaged
1,Yes,CA-2014-131618,CA-2014-131618 Customer Dissatified With Product
1,Yes,CA-2014-131807,CA-2014-131807 Product Damaged
1,Yes,CA-2014-131828,CA-2014-131828 Procut Description Inaccurate
1,Yes,CA-2014-132346,CA-2014-132346 Procut Description Inaccurate
1,Yes,CA-2014-134194,CA-2014-134194 Product Ordered Accidently
1,Yes,CA-2014-135692,CA-2014-135692 Product Damaged
1,Yes,CA-2014-136308,CA-2014-136308 Procut Description Inaccurate
1,Yes,CA-2014-136539,CA-2014-136539 Product Ordered Accidently
1,Yes,CA-2014-136651,CA-2014-136651 Product Ordered Accidently
1,Yes,CA-2014-137085,CA-2014-137085 Procut Description Inaccurate
1,Yes,CA-2014-137099,CA-2014-137099 Procut Description Inaccurate
1,Yes,CA-2014-137414,CA-2014-137414 Procut Description Inaccurate
1,Yes,CA-2014-137428,CA-2014-137428 Procut Description Inaccurate
1,Yes,CA-2014-138163,CA-2014-138163 Procut Description Inaccurate
1,Yes,CA-2014-140053,CA-2014-140053 Procut Description Inaccurate
1,Yes,CA-2014-140151,CA-2014-140151 Product Arrived After Promised Delivery Date
1,Yes,CA-2014-140186,CA-2014-140186 Product Arrived After Promised Delivery Date
1,Yes,CA-2014-140585,CA-2014-140585 Incorrect Products Delivered
1,Yes,CA-2014-140963,CA-2014-140963 Incorrect Products Delivered
1,Yes,CA-2014-141929,CA-2014-141929 Customer Dissatified With Product
1,Yes,CA-2014-142328,CA-2014-142328 Product Arrived After Promised Delivery Date
1,Yes,CA-2014-142342,CA-2014-142342 Procut Description Inaccurate
1,Yes,CA-2014-142867,CA-2014-142867 Procut Description Inaccurate
1,Yes,CA-2014-142888,CA-2014-142888 Procut Description Inaccurate
1,Yes,CA-2014-143084,CA-2014-143084 Customer Dissatified With Product
1,Yes,CA-2014-144064,CA-2014-144064 Product Arrived After Promised Delivery Date
1,Yes,CA-2014-145128,CA-2014-145128 Procut Description Inaccurate
1,Yes,CA-2014-145772,CA-2014-145772 Product Damaged
1,Yes,CA-2014-147452,CA-2014-147452 Procut Description Inaccurate
1,Yes,CA-2014-150609,CA-2014-150609 Product Ordered Accidently
1,Yes,CA-2014-150910,CA-2014-150910 Incorrect Products Delivered
1,Yes,CA-2014-152660,CA-2014-152660 Procut Description Inaccurate
1,Yes,CA-2014-153822,CA-2014-153822 Product Damaged
1,Yes,CA-2014-154074,CA-2014-154074 Procut Description Inaccurate
1,Yes,CA-2014-154214,CA-2014-154214 Product Arrived After Promised Delivery Date
1,Yes,CA-2014-154949,CA-2014-154949 Incorrect Products Delivered
1,Yes,CA-2014-155712,CA-2014-155712 Procut Description Inaccurate
1,Yes,CA-2014-156391,CA-2014-156391 Incorrect Products Delivered
1,Yes,CA-2014-156958,CA-2014-156958 Incorrect Products Delivered
1,Yes,CA-2014-157196,CA-2014-157196 Procut Description Inaccurate
1,Yes,CA-2014-158729,CA-2014-158729 Procut Description Inaccurate
1,Yes,CA-2014-159954,CA-2014-159954 Procut Description Inaccurate
1,Yes,CA-2014-161459,CA-2014-161459 Customer Dissatified With Product
1,Yes,CA-2014-161557,CA-2014-161557 Product Arrived After Promised Delivery Date
1,Yes,CA-2014-161956,CA-2014-161956 Product Ordered Accidently
1,Yes,CA-2014-162012,CA-2014-162012 Procut Description Inaccurate
1,Yes,CA-2014-165008,CA-2014-165008 Customer Dissatified With Product
1,Yes,CA-2014-165491,CA-2014-165491 Procut Description Inaccurate
1,Yes,CA-2014-166093,CA-2014-166093 Procut Description Inaccurate
1,Yes,CA-2014-166142,CA-2014-166142 Customer Dissatified With Product
1,Yes,CA-2014-166898,CA-2014-166898 Procut Description Inaccurate
1,Yes,CA-2014-167003,CA-2014-167003 Product Arrived After Promised Delivery Date
1,Yes,CA-2014-167395,CA-2014-167395 Procut Description Inaccurate
1,Yes,CA-2014-168193,CA-2014-168193 Procut Description Inaccurate
1,Yes,CA-2014-169327,CA-2014-169327 Procut Description Inaccurate
1,Yes,CA-2014-169859,CA-2014-169859 Procut Description Inaccurate
1,Yes,CA-2014-169894,CA-2014-169894 Customer Dissatified With Product
1,Yes,US-2011-105137,US-2011-105137 Product Damaged
1,Yes,US-2011-138758,US-2011-138758 Customer Dissatified With Product
1,Yes,US-2011-140452,US-2011-140452 Product Arrived After Promised Delivery Date
1,Yes,US-2011-143287,US-2011-143287 Incorrect Products Delivered
1,Yes,US-2011-150574,US-2011-150574 Procut Description Inaccurate
1,Yes,US-2011-164406,US-2011-164406 Procut Description Inaccurate
1,Yes,US-2011-164763,US-2011-164763 Incorrect Products Delivered
1,Yes,US-2012-110569,US-2012-110569 Procut Description Inaccurate
1,Yes,US-2012-126214,US-2012-126214 Procut Description Inaccurate
1,Yes,US-2012-128090,US-2012-128090 Procut Description Inaccurate
1,Yes,US-2012-136749,US-2012-136749 Procut Description Inaccurate
1,Yes,US-2012-136987,US-2012-136987 Procut Description Inaccurate
1,Yes,US-2012-137008,US-2012-137008 Customer Dissatified With Product
1,Yes,US-2012-160857,US-2012-160857 Product Arrived After Promised Delivery Date
1,Yes,US-2013-105578,US-2013-105578 Customer Dissatified With Product
1,Yes,US-2013-108455,US-2013-108455 Procut Description Inaccurate
1,Yes,US-2013-111528,US-2013-111528 Product Arrived After Promised Delivery Date
1,Yes,US-2013-114230,US-2013-114230 Product Ordered Accidently
1,Yes,US-2013-114293,US-2013-114293 Procut Description Inaccurate
1,Yes,US-2013-115952,US-2013-115952 Product Damaged
1,Yes,US-2013-119046,US-2013-119046 Procut Description Inaccurate
1,Yes,US-2013-127425,US-2013-127425 Procut Description Inaccurate
1,Yes,US-2013-131149,US-2013-131149 Customer Dissatified With Product
1,Yes,US-2013-135720,US-2013-135720 Procut Description Inaccurate
1,Yes,US-2013-140172,US-2013-140172 Incorrect Products Delivered
1,Yes,US-2013-144057,US-2013-144057 Customer Dissatified With Product
1,Yes,US-2013-148957,US-2013-148957 Procut Description Inaccurate
1,Yes,US-2013-151827,US-2013-151827 Product Ordered Accidently
1,Yes,US-2013-152051,US-2013-152051 Procut Description Inaccurate
1,Yes,US-2013-156986,US-2013-156986 Customer Dissatified With Product
1,Yes,US-2013-157490,US-2013-157490 Procut Description Inaccurate
1,Yes,US-2014-103247,US-2014-103247 Procut Description Inaccurate
1,Yes,US-2014-103828,US-2014-103828 Incorrect Products Delivered
1,Yes,US-2014-105046,US-2014-105046 Procut Description Inaccurate
1,Yes,US-2014-107888,US-2014-107888 Customer Dissatified With Product
1,Yes,US-2014-109253,US-2014-109253 Customer Dissatified With Product
1,Yes,US-2014-118087,US-2014-118087 Customer Dissatified With Product
1,Yes,US-2014-123834,US-2014-123834 Product Damaged
1,Yes,US-2014-136679,US-2014-136679 Procut Description Inaccurate
1,Yes,US-2014-147886,US-2014-147886 Customer Dissatified With Product
1,Yes,US-2014-147998,US-2014-147998 Procut Description Inaccurate
1,Yes,US-2014-151127,US-2014-151127 Procut Description Inaccurate
1,Yes,US-2014-155999,US-2014-155999 Product Damaged
